"date","month","id_invoice","branch_location","customer","product","brand","total_product_sold","price_per_unit","total_revenue"
"2022-01-20","January","IN5997","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",1,1170,1170
"2022-01-20","January","IN6297","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",5,2338,11690
"2022-01-21","January","IN6155","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",9,10691,96219
"2022-01-22","January","IN6144","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",13,8701,113113
"2022-01-23","January","IN6317","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",10,10691,106910
"2022-01-23","January","IN6125","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",14,10691,149674
"2022-01-23","January","IN5980","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",20,10691,213820
"2022-01-23","January","IN6318","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",22,10691,235202
"2022-01-23","January","IN6289","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",25,10691,267275
"2022-01-23","January","IN6251","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",1,3992,3992
"2022-01-23","January","IN6190","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",2,1170,2340
"2022-01-23","January","IN6039","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",13,1170,15210
"2022-01-23","January","IN6215","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",14,1170,16380
"2022-01-23","January","IN6233","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",24,1170,28080
"2022-01-23","January","IN6284","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",76,1170,88920
"2022-01-23","January","IN6028","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",98,1170,114660
"2022-01-23","January","IN6052","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",5,2819,14095
"2022-01-23","January","IN6210","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",4,4592,18368
"2022-01-23","January","IN6311","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",7,4592,32144
"2022-01-23","January","IN6307","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",14,4592,64288
"2022-01-23","January","IN6308","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",67,4592,307664
"2022-01-23","January","IN6216","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",98,4592,450016
"2022-01-23","January","IN6217","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",5,5781,28905
"2022-01-23","January","IN6086","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",14,5781,80934
"2022-01-23","January","IN6183","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",25,5781,144525
"2022-01-23","January","IN6202","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",34,5781,196554
"2022-01-23","January","IN6286","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",120,5781,693720
"2022-01-23","January","IN6280","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",1,5648,5648
"2022-01-23","January","IN6065","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",4,5648,22592
"2022-01-23","January","IN5991","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",24,5648,135552
"2022-01-23","January","IN6221","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",25,5648,141200
"2022-01-23","January","IN6242","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",44,5648,248512
"2022-01-23","January","IN6220","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",48,5648,271104
